
# Surface 0 of 1 surfaces

# Curve title: "'Datos/dataContour.txt'"

# IsoCurve 0, 100 points
# x y z type
 93  50 -0.0171207 i
 93  51 -0.0171775 i
 93  52 -0.0173169 i
 93  53 -0.0173573 i
 93  54 -0.0172284 i
 93  55 -0.0165485 i
 93  56 -0.015376 i
 93  57 -0.0135689 i
 93  58 -0.0113913 i
 93  59 -0.00921857 i
 93  60 -0.00715868 i
 93  61 -0.00542924 i
 93  62 -0.00362857 i
 93  63 -0.00144374 i
 93  64  0.00148182 i
 93  65  0.00534425 i
 93  66  0.00962312 i
 93  67  0.0138173 i
 93  68  0.017075 i
 93  69  0.0189294 i
 93  70  0.0191798 i
 93  71  0.0179181 i
 93  72  0.0156581 i
 93  73  0.0128323 i
 93  74  0.00993111 i
 93  75  0.00725544 i
 93  76  0.00499783 i
 93  77  0.00325337 i
 93  78  0.00200131 i
 93  79  0.00118608 i
 93  80  0.000657918 i
 93  81  0.000375123 i
 93  82  0.00016321 i
 93  83  0.000107989 i
 93  84  4.63834e-05 i
 93  85  5.38609e-05 i
 93  86  2.57877e-05 i
 93  87  1.05924e-05 i
 93  88  3.54353e-05 i
 93  89  4.17213e-05 i
 93  90  4.14613e-05 i
 93  91 -3.57028e-06 i
 93  92 -2.50983e-05 i
 93  93 -7.72893e-06 i
 93  94  5.01781e-06 i
 93  95  5.98612e-07 i
 93  96 -1.35244e-05 o
 93  97 -2.3039e-05 o
 93  98 -1.7754e-06 o
 93  99 -1.62238e-05 o

# IsoCurve 7, 100 points
# x y z type
 92  0 -2.10855e-05 o
 92  1  9.43735e-06 o
 92  2  2.15928e-07 o
 92  3  4.07636e-06 o
 92  4 -1.97304e-05 o
 92  5 -3.13397e-05 i
 92  6 -2.09392e-05 i
 92  7 -2.19064e-05 i
 92  8 -1.38612e-05 i
 92  9  3.30199e-06 i
 92  10  1.52976e-05 i
 92  11  4.78471e-05 i
 92  12  3.64558e-05 i
 92  13  4.02324e-05 i
 92  14  4.47021e-05 i
 92  15  7.08671e-05 i
 92  16  0.00015422 i
 92  17  0.000252652 i
 92  18  0.000477864 i
 92  19  0.000868166 i
 92  20  0.00156118 i
 92  21  0.00259438 i
 92  22  0.00408601 i
 92  23  0.00603427 i
 92  24  0.00857732 i
 92  25  0.0114021 i
 92  26  0.0143441 i
 92  27  0.0167449 i
 92  28  0.0181747 i
 92  29  0.0181338 i
 92  30  0.0163658 i
 92  31  0.0130673 i
 92  32  0.00862543 i
 92  33  0.0037827 i
 92  34 -0.000772401 i
 92  35 -0.00454894 i
 92  36 -0.00728535 i
 92  37 -0.00937207 i
 92  38 -0.0112323 i
 92  39 -0.0134383 i
 92  40 -0.0161397 i
 92  41 -0.019073 i
 92  42 -0.0216646 i
 92  43 -0.0233809 i
 92  44 -0.0241799 i
 92  45 -0.0244638 i
 92  46 -0.0249843 i
 92  47 -0.026149 i
 92  48 -0.0278396 i
 92  49 -0.0293666 i
 92  50 -0.0299901 i
 92  51 -0.0293666 i
 92  52 -0.0278396 i
 92  53 -0.026149 i
 92  54 -0.0249843 i
 92  55 -0.0244638 i
 92  56 -0.0241799 i
 92  57 -0.0233809 i
 92  58 -0.0216646 i
 92  59 -0.019073 i
 92  60 -0.0161397 i
 92  61 -0.0134383 i
 92  62 -0.0112323 i
 92  63 -0.00937207 i
 92  64 -0.00728535 i
 92  65 -0.00454894 i
 92  66 -0.000772401 i
 92  67  0.0037827 i
 92  68  0.00862543 i
 92  69  0.0130673 i
 92  70  0.0163658 i
 92  71  0.0181338 i
 92  72  0.0181747 i
 92  73  0.0167449 i
 92  74  0.0143441 i
 92  75  0.0114021 i
 92  76  0.00857732 i
 92  77  0.00603427 i
 92  78  0.00408601 i
 92  79  0.00259438 i
 92  80  0.00156118 i
 92  81  0.000868166 i
 92  82  0.000477864 i
 92  83  0.000252652 i
 92  84  0.00015422 i
 92  85  7.08671e-05 i
 92  86  4.47021e-05 i
 92  87  4.02324e-05 i
 92  88  3.64558e-05 i
 92  89  4.78471e-05 i
 92  90  1.52976e-05 i
 92  91  3.30199e-06 i
 92  92 -1.38612e-05 i
 92  93 -2.19064e-05 i
 92  94 -2.09392e-05 i
 92  95 -3.13397e-05 i
 92  96 -1.97304e-05 o
 92  97  4.07636e-06 o
 92  98  2.15928e-07 o
 92  99  9.43735e-06 o

# IsoCurve 8, 100 points
# x y z type
 91  0  1.8222e-05 o
 91  1 -4.50524e-06 o
 91  2  1.55767e-05 o
 91  3  3.51029e-06 o
 91  4 -1.36467e-05 o
 91  5 -4.17852e-05 i
 91  6 -5.90647e-05 i
 91  7 -2.70434e-05 i
 91  8  7.44997e-06 i
 91  9  6.82976e-06 i
 91  10  1.02699e-05 i
 91  11  1.0885e-05 i
 91  12  4.30832e-05 i
 91  13  6.51948e-05 i
 91  14  8.01062e-05 i
 91  15  0.000176074 i
 91  16  0.000331051 i
 91  17  0.000629217 i
 91  18  0.00109616 i
 91  19  0.00186371 i
 91  20  0.00307711 i
 91  21  0.00480669 i
 91  22  0.00706663 i
 91  23  0.00975972 i
 91  24  0.0125817 i
 91  25  0.0151849 i
 91  26  0.0169845 i
 91  27  0.017487 i
 91  28  0.0162475 i
 91  29  0.0131948 i
 91  30  0.00863204 i
 91  31  0.0033321 i
 91  32 -0.00190504 i
 91  33 -0.00629508 i
 91  34 -0.00958857 i
 91  35 -0.0120075 i
 91  36 -0.0141293 i
 91  37 -0.0165829 i
 91  38 -0.0194545 i
 91  39 -0.0224157 i
 91  40 -0.0250231 i
 91  41 -0.0267424 i
 91  42 -0.027769 i
 91  43 -0.0283214 i
 91  44 -0.0288756 i
 91  45 -0.0296497 i
 91  46 -0.0303644 i
 91  47 -0.0310038 i
 91  48 -0.0312331 i
 91  49 -0.0312772 i
 91  50 -0.0312599 i
 91  51 -0.0312772 i
 91  52 -0.0312331 i
 91  53 -0.0310038 i
 91  54 -0.0303644 i
 91  55 -0.0296497 i
 91  56 -0.0288756 i
 91  57 -0.0283214 i
 91  58 -0.027769 i
 91  59 -0.0267424 i
 91  60 -0.0250231 i
 91  61 -0.0224157 i
 91  62 -0.0194545 i
 91  63 -0.0165829 i
 91  64 -0.0141293 i
 91  65 -0.0120075 i
 91  66 -0.00958857 i
 91  67 -0.00629508 i
 91  68 -0.00190504 i
 91  69  0.0033321 i
 91  70  0.00863204 i
 91  71  0.0131948 i
 91  72  0.0162475 i
 91  73  0.017487 i
 91  74  0.0169845 i
 91  75  0.0151849 i
 91  76  0.0125817 i
 91  77  0.00975972 i
 91  78  0.00706663 i
 91  79  0.00480669 i
 91  80  0.00307711 i
 91  81  0.00186371 i
 91  82  0.00109616 i
 91  83  0.000629217 i
 91  84  0.000331051 i
 91  85  0.000176074 i
 91  86  8.01062e-05 i
 91  87  6.51948e-05 i
 91  88  4.30832e-05 i
 91  89  1.0885e-05 i
 91  90  1.02699e-05 i
 91  91  6.82976e-06 i
 91  92  7.44997e-06 i
 91  93 -2.70434e-05 i
 91  94 -5.90647e-05 i
 91  95 -4.17852e-05 i
 91  96 -1.36467e-05 o
 91  97  3.51029e-06 o
 91  98  1.55767e-05 o
 91  99 -4.50524e-06 o

# IsoCurve 9, 100 points
# x y z type
 90  0  1.72228e-05 o
 90  1  2.72712e-05 o
 90  2 -3.76877e-06 o
 90  3 -4.67369e-06 o
 90  4 -1.76307e-05 o
 90  5 -4.04197e-05 i
 90  6 -4.74903e-05 i
 90  7 -3.00401e-05 i
 90  8 -8.34167e-06 i
 90  9  1.3335e-05 i
 90  10 -3.36565e-07 i
 90  11  1.30626e-05 i
